input,output
"[P(i, n)] P(s, c) | P(c, n) | B(h, p) | P(i, z) | S(a, w) | S(y, e) | P(z, s)","[1, 1, 0, 1, 0, 0, 1]"
"[B(m, r)] B(d, f) | P(t, c) | P(z, e) | B(n, r) | B(m, h) | B(f, n) | B(h, d) | B(v, l) | B(y, o)","[1, 0, 0, 1, 1, 1, 1, 0, 0]"
"[S(e, z)] S(y, l) | S(e, y) | P(p, k) | P(r, b) | S(l, z)","[1, 1, 0, 0, 1]"
"[B(p, f)] B(r, f) | B(x, u) | B(w, r) | B(p, w) | B(d, c)","[1, 0, 1, 1, 0]"
"[B(h, p)] S(d, r) | B(m, i) | B(h, m) | B(y, b) | P(s, k) | B(i, p)","[0, 1, 1, 0, 0, 1]"
"[P(a, t)] P(p, z) | P(z, t) | P(a, p) | P(u, e) | S(w, f) | S(q, m)","[1, 1, 1, 0, 0, 0]"
"[S(t, n)] P(g, s) | S(o, n) | S(h, o) | S(m, h) | S(t, m) | P(u, j)","[0, 1, 1, 1, 1, 0]"
"[B(f, a)] B(y, n) | B(f, y) | S(t, d) | S(z, v) | P(w, b) | B(i, x) | B(n, a)","[1, 1, 0, 0, 0, 0, 1]"
"[P(g, a)] P(x, u) | P(r, o) | P(l, f) | P(s, v) | P(f, d) | P(y, k) | P(d, a) | P(g, z) | P(z, l)","[0, 0, 1, 0, 1, 0, 1, 1, 1]"
"[B(l, c)] B(d, w) | B(x, m) | B(l, x) | B(u, y) | B(w, c) | S(v, p) | B(g, q) | B(o, j) | B(m, d)","[1, 1, 1, 0, 1, 0, 0, 0, 1]"
"[P(v, r)] P(f, s) | P(u, x) | P(x, r) | P(v, m) | P(n, e) | P(m, u)","[0, 1, 1, 1, 0, 1]"
"[P(c, s)] P(w, s) | B(b, j) | B(p, n) | P(h, w) | P(c, h) | S(g, x) | B(t, r)","[1, 0, 0, 1, 1, 0, 0]"
"[B(a, r)] B(z, r) | B(m, z) | P(u, t) | S(g, e) | B(a, m)","[1, 1, 0, 0, 1]"
"[S(c, m)] S(c, r) | B(w, a) | P(z, s) | S(h, p) | S(v, x) | P(l, e) | S(r, h) | S(p, m)","[1, 0, 0, 1, 0, 0, 1, 1]"
"[B(t, c)] P(i, u) | B(l, c) | S(z, p) | B(e, n) | B(j, m) | B(t, v) | B(v, l)","[0, 1, 0, 0, 0, 1, 1]"
"[S(c, k)] S(g, b) | P(d, f) | S(o, k) | S(b, o) | P(m, n) | S(c, g) | S(q, a)","[1, 0, 1, 1, 0, 1, 0]"
"[P(s, f)] S(b, p) | P(k, w) | P(o, f) | P(s, q) | P(q, o) | P(y, e)","[0, 0, 1, 1, 1, 0]"
"[B(d, p)] B(i, p) | B(w, i) | B(d, g) | B(g, o) | P(v, t) | B(o, w) | B(c, j)","[1, 1, 1, 1, 0, 1, 0]"
"[B(s, o)] B(v, p) | B(p, j) | P(w, a) | B(q, o) | B(s, v) | B(j, q) | P(l, g)","[1, 1, 0, 1, 1, 1, 0]"
"[P(r, d)] S(k, z) | P(n, q) | P(s, d) | P(q, s) | P(r, o) | P(p, i) | P(o, n)","[0, 1, 1, 1, 1, 0, 1]"
"[B(q, a)] S(g, v) | P(u, l) | B(d, n) | B(n, k) | S(j, f) | B(q, d) | B(k, a)","[0, 0, 1, 1, 0, 1, 1]"
"[P(c, u)] P(i, v) | P(d, u) | P(c, o) | P(v, d) | S(a, p) | P(l, m) | S(w, s) | P(o, i)","[1, 1, 1, 1, 0, 0, 0, 1]"
"[B(b, p)] B(b, d) | S(h, q) | S(f, z) | B(n, p) | B(x, v) | P(m, r) | S(j, l) | B(d, x) | B(v, n)","[1, 0, 0, 1, 1, 0, 0, 1, 1]"
"[S(z, x)] S(l, c) | B(m, b) | S(r, x) | S(z, o) | S(o, r) | S(v, a) | P(p, f)","[0, 0, 1, 1, 1, 0, 0]"
"[S(z, h)] S(v, o) | S(l, v) | S(o, h) | S(z, f) | B(p, b) | S(f, l) | B(r, q)","[1, 1, 1, 1, 0, 1, 0]"
"[B(a, d)] B(f, s) | B(s, d) | B(a, f) | P(t, o) | S(h, c) | S(l, m) | S(i, j)","[1, 1, 1, 0, 0, 0, 0]"
"[S(n, g)] S(w, z) | B(i, c) | S(z, y) | S(y, g) | S(j, t) | S(n, w)","[1, 0, 1, 1, 0, 1]"
"[S(u, q)] S(u, e) | P(k, w) | S(o, b) | S(e, a) | S(a, h) | S(h, q) | B(p, i)","[1, 0, 0, 1, 1, 1, 0]"
"[P(k, m)] P(f, m) | P(k, s) | P(s, f) | P(v, h) | B(p, o)","[1, 1, 1, 0, 0]"
"[B(g, w)] B(g, m) | S(v, p) | B(m, x) | B(x, y) | P(e, b) | P(h, s) | B(y, r) | B(r, w)","[1, 0, 1, 1, 0, 0, 1, 1]"
"[S(q, t)] B(x, d) | P(c, o) | S(k, h) | S(n, t) | S(e, n) | S(q, e) | S(p, g)","[0, 0, 0, 1, 1, 1, 0]"
"[S(k, h)] S(u, g) | S(g, d) | P(f, b) | B(x, o) | S(k, z) | S(z, u) | S(d, h) | P(s, j) | B(q, n)","[1, 1, 0, 0, 1, 1, 1, 0, 0]"
"[B(v, p)] S(h, w) | P(y, e) | B(u, p) | B(v, n) | P(r, l) | B(n, z) | B(z, s) | B(s, u) | B(f, x)","[0, 0, 1, 1, 0, 1, 1, 1, 0]"
"[P(m, i)] P(k, n) | P(w, d) | S(l, b) | P(n, w) | P(m, k) | P(x, q) | P(d, i)","[1, 1, 0, 1, 1, 0, 1]"
"[P(h, u)] S(a, p) | P(r, g) | P(g, c) | B(n, k) | P(h, q) | P(q, r) | P(c, u) | B(b, y) | P(e, f)","[0, 1, 1, 0, 1, 1, 1, 0, 0]"
"[S(y, w)] P(u, p) | S(o, a) | S(y, t) | S(t, f) | S(f, w)","[0, 0, 1, 1, 1]"
"[B(u, i)] B(y, z) | B(f, n) | S(a, m) | S(x, t) | B(u, f) | B(n, i)","[0, 1, 0, 0, 1, 1]"
"[S(c, a)] S(v, a) | B(u, z) | S(j, b) | S(b, v) | S(c, j) | P(o, m)","[1, 0, 1, 1, 1, 0]"
"[S(x, z)] P(v, u) | S(t, l) | P(c, p) | S(w, t) | S(h, z) | S(x, w) | S(l, h)","[0, 1, 0, 1, 1, 1, 1]"
"[P(c, h)] P(r, e) | P(c, s) | P(w, b) | P(s, k) | P(k, h) | S(g, y)","[0, 1, 0, 1, 1, 0]"
"[P(g, v)] P(p, n) | B(e, z) | P(w, v) | S(s, o) | P(c, q) | P(l, w) | P(g, l)","[0, 0, 1, 0, 0, 1, 1]"
"[B(s, l)] B(p, f) | B(s, x) | B(j, l) | B(z, r) | B(x, j) | S(g, w) | S(k, b)","[0, 1, 1, 0, 1, 0, 0]"
"[P(s, n)] P(x, a) | P(s, x) | S(m, y) | P(b, k) | P(a, n)","[1, 1, 0, 0, 1]"
"[P(b, c)] P(k, c) | P(i, m) | S(q, l) | P(u, k) | B(g, x) | P(b, u)","[1, 0, 0, 1, 0, 1]"
"[B(a, s)] B(y, s) | B(p, y) | B(l, p) | B(a, l) | S(x, z) | B(c, v)","[1, 1, 1, 1, 0, 0]"
"[S(n, q)] P(r, i) | B(d, p) | S(s, f) | S(f, q) | B(t, j) | S(n, s)","[0, 0, 1, 1, 0, 1]"
"[B(s, j)] S(z, t) | B(v, i) | B(i, l) | B(f, j) | B(q, y) | B(s, v) | B(l, f) | P(r, m)","[0, 1, 1, 1, 0, 1, 1, 0]"
"[S(b, d)] S(b, v) | S(v, p) | S(t, e) | S(p, q) | S(q, d) | B(a, k) | S(i, w)","[1, 1, 0, 1, 1, 0, 0]"
"[P(c, w)] P(n, w) | P(c, p) | P(p, n) | S(r, a) | S(f, y)","[1, 1, 1, 0, 0]"
"[S(a, k)] P(u, e) | S(a, c) | S(o, k) | B(l, y) | B(d, z) | S(x, s) | P(q, b) | S(s, o) | S(c, x)","[0, 1, 1, 0, 0, 1, 0, 1, 1]"
"[S(e, d)] S(f, j) | B(p, y) | S(w, d) | S(j, w) | P(o, x) | S(e, f) | P(h, l)","[1, 0, 1, 1, 0, 1, 0]"
"[S(l, o)] P(q, r) | S(l, c) | S(c, w) | S(t, m) | S(w, o)","[0, 1, 1, 0, 1]"
"[S(l, e)] S(h, r) | S(f, e) | S(l, p) | S(p, f) | S(o, x)","[0, 1, 1, 1, 0]"
"[P(y, h)] P(y, k) | P(k, q) | P(z, d) | S(j, l) | P(q, h) | S(b, a) | P(v, g)","[1, 1, 0, 0, 1, 0, 0]"
"[S(a, r)] S(w, k) | S(j, r) | S(k, j) | S(a, w) | P(m, x) | B(o, s) | S(h, t) | S(v, n)","[1, 1, 1, 1, 0, 0, 0, 0]"
"[P(t, j)] P(i, e) | B(k, w) | P(t, v) | B(o, l) | P(v, n) | P(n, j) | S(s, m)","[0, 0, 1, 0, 1, 1, 0]"
"[S(s, a)] S(z, a) | B(b, i) | S(s, k) | P(f, r) | S(k, z)","[1, 0, 1, 0, 1]"
"[S(x, h)] S(x, o) | S(w, g) | P(j, a) | S(f, w) | S(o, f) | S(g, h) | B(q, l) | B(u, z)","[1, 1, 0, 1, 1, 1, 0, 0]"
"[P(b, t)] S(s, m) | P(y, i) | S(w, c) | P(o, y) | P(i, t) | S(x, h) | P(b, n) | P(n, o)","[0, 1, 0, 1, 1, 0, 1, 1]"
"[B(c, x)] B(t, p) | B(i, e) | B(s, b) | B(p, x) | B(c, t)","[1, 0, 0, 1, 1]"
"[S(w, x)] P(f, a) | P(p, g) | S(w, o) | P(m, n) | S(c, x) | B(k, s) | S(o, c)","[0, 0, 1, 0, 1, 0, 1]"
"[S(t, a)] P(i, l) | B(b, e) | S(v, h) | S(h, a) | S(t, c) | S(q, j) | S(y, u) | S(c, o) | S(o, v)","[0, 0, 1, 1, 1, 0, 0, 1, 1]"
"[P(a, q)] P(k, j) | P(f, q) | P(r, f) | B(b, l) | P(a, k) | S(w, u) | S(t, d) | P(j, r) | P(o, y)","[1, 1, 1, 0, 1, 0, 0, 1, 0]"
"[P(y, u)] P(c, d) | P(i, c) | B(v, o) | P(y, h) | P(h, i) | P(d, u) | P(w, z) | B(m, e)","[1, 1, 0, 1, 1, 1, 0, 0]"
"[S(u, h)] P(k, a) | S(i, h) | S(u, e) | S(v, o) | S(e, i)","[0, 1, 1, 0, 1]"
"[S(c, f)] S(m, d) | S(h, p) | S(u, k) | S(p, l) | S(l, f) | S(e, v) | S(c, h)","[0, 1, 0, 1, 1, 0, 1]"
"[S(c, f)] S(v, f) | P(w, d) | B(h, p) | P(r, u) | P(y, l) | S(q, v) | S(c, q)","[1, 0, 0, 0, 0, 1, 1]"
"[S(r, w)] P(j, a) | S(r, d) | S(d, p) | S(c, q) | S(p, u) | S(b, w) | S(u, b)","[0, 1, 1, 0, 1, 1, 1]"
"[P(f, v)] P(x, s) | P(f, i) | P(d, w) | P(q, v) | P(i, q) | B(h, e) | S(l, b)","[0, 1, 0, 1, 1, 0, 0]"
"[B(n, y)] B(n, c) | P(o, w) | B(r, y) | B(c, r) | B(l, j) | S(t, q)","[1, 0, 1, 1, 0, 0]"
"[S(q, f)] P(u, z) | S(k, e) | S(q, d) | S(y, f) | S(e, y) | S(a, j) | S(d, k)","[0, 1, 1, 1, 1, 0, 1]"
"[P(v, f)] P(j, y) | S(c, z) | P(y, f) | S(e, b) | S(p, m) | P(v, j)","[1, 0, 1, 0, 0, 1]"
"[B(o, z)] B(u, z) | B(o, a) | B(p, u) | P(y, m) | S(h, f) | B(r, s) | B(a, p)","[1, 1, 1, 0, 0, 0, 1]"
"[P(f, v)] B(e, y) | P(l, w) | P(u, a) | B(o, s) | B(x, j) | S(c, d) | P(f, l) | P(w, u) | P(a, v)","[0, 1, 1, 0, 0, 0, 1, 1, 1]"
"[P(x, h)] P(z, a) | P(b, h) | S(k, p) | P(v, b) | P(x, v)","[0, 1, 0, 1, 1]"
"[P(a, l)] P(r, l) | B(x, g) | B(n, z) | P(u, r) | P(s, u) | P(a, s) | P(b, d)","[1, 0, 0, 1, 1, 1, 0]"
"[B(h, d)] B(h, f) | S(j, m) | P(e, x) | B(b, d) | B(o, l) | B(f, i) | B(i, b)","[1, 0, 0, 1, 0, 1, 1]"
"[S(s, f)] S(l, v) | B(y, m) | S(b, f) | P(n, q) | S(z, b) | S(s, p) | S(p, z)","[0, 0, 1, 0, 1, 1, 1]"
"[B(c, k)] B(z, k) | B(s, i) | B(d, l) | B(v, m) | B(c, d) | B(l, z)","[1, 0, 1, 0, 1, 1]"
"[B(j, k)] B(q, v) | B(c, g) | B(j, q) | P(t, i) | B(g, k) | B(v, c) | S(m, x)","[1, 1, 1, 0, 1, 1, 0]"
"[B(g, k)] P(i, a) | B(s, p) | B(p, f) | B(z, l) | B(g, h) | B(f, k) | B(h, s)","[0, 1, 1, 0, 1, 1, 1]"
"[S(q, t)] S(w, g) | B(v, f) | S(l, o) | S(g, h) | S(h, e) | S(e, t) | S(q, w) | S(z, d) | P(r, n)","[1, 0, 0, 1, 1, 1, 1, 0, 0]"
"[S(a, i)] S(w, t) | B(e, o) | B(x, r) | S(k, i) | S(a, v) | S(v, k)","[0, 0, 0, 1, 1, 1]"
"[P(j, p)] S(b, o) | P(j, a) | P(n, e) | P(h, m) | P(m, p) | P(a, h) | S(w, c) | S(g, k)","[0, 1, 0, 1, 1, 1, 0, 0]"
"[S(a, u)] S(a, v) | P(g, b) | P(j, h) | S(o, w) | S(i, m) | S(w, u) | S(v, o)","[1, 0, 0, 1, 0, 1, 1]"
"[P(l, p)] P(t, e) | P(e, h) | P(h, p) | P(q, f) | P(l, t) | B(v, o) | P(x, c)","[1, 1, 1, 0, 1, 0, 0]"
"[P(c, y)] P(m, y) | P(u, m) | P(x, o) | S(d, f) | P(a, q) | P(v, u) | S(g, h) | P(c, v)","[1, 1, 0, 0, 0, 1, 0, 1]"
"[P(q, z)] P(k, z) | P(s, x) | P(o, k) | P(u, o) | P(q, u) | P(l, f) | S(v, e)","[1, 0, 1, 1, 1, 0, 0]"
"[P(b, t)] P(o, h) | P(v, t) | B(x, u) | B(d, z) | S(w, g) | P(b, o) | P(h, v)","[1, 1, 0, 0, 0, 1, 1]"
"[S(p, j)] B(a, s) | S(p, d) | B(g, o) | S(n, j) | S(d, x) | S(x, u) | S(u, n)","[0, 1, 0, 1, 1, 1, 1]"
"[S(m, t)] S(m, k) | S(k, y) | P(u, b) | P(p, e) | S(y, j) | B(w, x) | B(d, s) | S(j, t)","[1, 1, 0, 0, 1, 0, 0, 1]"
"[B(k, d)] B(k, m) | S(g, r) | S(v, x) | S(z, o) | B(n, y) | B(b, c) | B(s, d) | B(y, s) | B(m, n)","[1, 0, 0, 0, 1, 0, 1, 1, 1]"
"[S(m, l)] P(r, x) | S(j, a) | S(i, j) | S(k, l) | P(c, t) | B(o, p) | S(a, k) | S(m, i)","[0, 1, 1, 1, 0, 0, 1, 1]"
"[B(l, y)] B(e, v) | B(l, e) | B(v, f) | B(n, p) | B(r, u) | B(f, y) | P(h, g)","[1, 1, 1, 0, 0, 1, 0]"
"[S(n, f)] S(q, r) | S(n, o) | S(e, y) | P(g, t) | S(o, q) | S(r, f) | P(c, l) | P(j, a)","[1, 1, 0, 0, 1, 1, 0, 0]"
"[S(y, m)] S(n, j) | S(j, e) | B(b, a) | S(h, n) | S(e, m) | P(q, d) | S(r, s) | S(p, l) | S(y, h)","[1, 1, 0, 1, 1, 0, 0, 0, 1]"
"[B(v, z)] B(v, b) | S(h, x) | S(j, m) | B(a, w) | P(u, g) | B(r, z) | B(b, r)","[1, 0, 0, 0, 0, 1, 1]"
"[S(r, g)] P(v, j) | B(i, k) | S(s, m) | S(r, s) | S(m, g)","[0, 0, 1, 1, 1]"
"[S(l, y)] S(f, y) | S(s, b) | S(g, f) | B(j, e) | S(l, g) | P(q, o) | B(h, c)","[1, 0, 1, 0, 1, 0, 0]"
"[S(e, g)] P(l, f) | B(d, h) | S(e, v) | P(m, t) | S(x, g) | S(v, x) | S(c, k)","[0, 0, 1, 0, 1, 1, 0]"
"[B(w, u)] B(l, k) | B(k, u) | B(v, z) | B(y, l) | P(e, c) | S(r, j) | P(i, o) | B(w, y)","[1, 1, 0, 1, 0, 0, 0, 1]"
"[B(z, p)] B(j, n) | B(n, p) | B(z, t) | P(f, g) | B(t, v) | B(s, i) | S(w, l) | B(r, q) | B(v, j)","[1, 1, 1, 0, 1, 0, 0, 0, 1]"
"[P(z, y)] P(z, d) | P(r, y) | P(d, r) | S(e, g) | P(u, j) | B(i, o)","[1, 1, 1, 0, 0, 0]"
"[S(f, d)] S(m, d) | S(n, m) | B(o, b) | B(w, s) | S(f, n)","[1, 1, 0, 0, 1]"
"[S(b, n)] P(d, w) | S(z, n) | S(h, x) | S(t, z) | S(b, t) | S(i, y) | S(p, g)","[0, 1, 0, 1, 1, 0, 0]"
"[P(s, d)] B(m, g) | P(z, e) | P(e, d) | B(y, u) | P(s, z) | B(h, w) | B(j, n)","[0, 1, 1, 0, 1, 0, 0]"
"[B(q, b)] B(q, a) | B(a, n) | B(n, z) | S(r, x) | B(z, b) | P(k, w) | S(e, c)","[1, 1, 1, 0, 1, 0, 0]"
"[S(d, s)] P(h, a) | S(t, f) | S(l, s) | S(j, w) | S(d, o) | S(b, g) | S(o, l)","[0, 0, 1, 0, 1, 0, 1]"
"[B(w, h)] B(w, i) | B(a, h) | B(i, a) | B(g, k) | B(u, j)","[1, 1, 1, 0, 0]"
"[P(v, l)] S(g, e) | P(v, j) | B(f, z) | P(c, l) | P(j, c) | P(s, n)","[0, 1, 0, 1, 1, 0]"
"[S(a, f)] P(m, b) | S(a, o) | S(x, f) | S(o, x) | B(t, i)","[0, 1, 1, 1, 0]"
"[S(j, f)] S(z, f) | P(q, c) | S(d, a) | S(x, k) | S(j, t) | P(n, v) | S(t, z)","[1, 0, 0, 0, 1, 0, 1]"
"[B(n, a)] B(k, q) | P(c, w) | B(m, f) | B(q, g) | B(g, a) | B(o, s) | S(t, i) | B(n, k)","[1, 0, 0, 1, 1, 0, 0, 1]"
"[P(y, x)] B(r, f) | P(v, l) | P(l, x) | P(y, a) | P(e, v) | P(a, e) | S(m, h)","[0, 1, 1, 1, 1, 1, 0]"
"[S(k, q)] S(b, q) | S(g, t) | B(u, r) | S(z, b) | P(l, j) | S(k, z) | S(f, v)","[1, 0, 0, 1, 0, 1, 0]"
"[P(p, w)] P(m, q) | P(g, w) | P(f, d) | P(q, v) | P(p, m) | P(x, e) | P(v, g) | P(c, s) | P(b, u)","[1, 1, 0, 1, 1, 0, 1, 0, 0]"
"[B(n, w)] B(l, x) | B(u, g) | B(r, w) | B(n, l) | S(d, z) | B(b, e) | B(s, p) | B(x, r)","[1, 0, 1, 1, 0, 0, 0, 1]"
"[B(q, g)] B(v, a) | S(b, k) | B(a, h) | B(h, n) | B(n, g) | B(q, v) | P(d, x) | P(f, l) | B(w, e)","[1, 0, 1, 1, 1, 1, 0, 0, 0]"
"[S(w, i)] B(n, v) | S(h, m) | S(w, h) | S(j, i) | S(m, l) | S(l, j) | B(g, t)","[0, 1, 1, 1, 1, 1, 0]"
"[S(w, h)] S(s, j) | B(n, x) | S(w, s) | B(f, l) | B(e, c) | S(j, h) | B(p, b)","[1, 0, 1, 0, 0, 1, 0]"
"[P(h, r)] P(x, b) | P(h, p) | P(p, x) | P(b, g) | P(g, r) | P(l, c) | S(k, j) | B(o, w)","[1, 1, 1, 1, 1, 0, 0, 0]"
"[P(o, a)] P(y, m) | P(w, b) | P(b, c) | B(e, g) | P(x, u) | P(l, w) | P(o, l) | P(c, a) | P(i, q)","[0, 1, 1, 0, 0, 1, 1, 1, 0]"
"[P(j, i)] S(f, b) | P(z, w) | P(j, m) | P(n, t) | P(w, i) | P(m, s) | P(s, z)","[0, 1, 1, 0, 1, 1, 1]"
"[S(c, h)] S(d, s) | P(r, l) | S(s, h) | P(q, v) | S(c, j) | S(f, d) | S(j, f) | B(p, e)","[1, 0, 1, 0, 1, 1, 1, 0]"
"[B(n, q)] B(u, q) | B(j, u) | B(f, d) | B(t, o) | S(r, a) | B(n, j)","[1, 1, 0, 0, 0, 1]"
"[S(p, s)] B(v, c) | S(p, k) | P(z, e) | S(k, x) | S(x, s)","[0, 1, 0, 1, 1]"
"[S(d, k)] S(d, t) | P(h, v) | S(t, r) | S(r, k) | S(z, a) | S(w, o)","[1, 0, 1, 1, 0, 0]"
"[S(x, i)] S(m, i) | P(z, d) | S(g, m) | B(t, p) | P(u, j) | P(w, s) | S(x, g)","[1, 0, 1, 0, 0, 0, 1]"
"[S(w, v)] B(u, q) | S(w, h) | B(a, y) | S(h, r) | P(s, f) | S(r, v)","[0, 1, 0, 1, 0, 1]"
"[P(o, q)] B(r, b) | P(w, q) | P(d, a) | P(m, n) | P(o, d) | P(a, w) | P(s, l) | S(t, y)","[0, 1, 1, 0, 1, 1, 0, 0]"
"[B(b, e)] B(w, r) | B(m, e) | B(j, n) | B(b, j) | B(n, m) | B(i, c) | B(h, s)","[0, 1, 1, 1, 1, 0, 0]"
"[P(f, r)] B(w, i) | P(f, m) | P(z, r) | P(m, z) | S(y, n) | S(d, h)","[0, 1, 1, 1, 0, 0]"
"[P(x, s)] P(q, s) | P(o, d) | P(y, l) | B(w, a) | S(z, e) | P(d, b) | P(x, o) | P(b, q)","[1, 1, 0, 0, 0, 1, 1, 1]"
"[S(x, e)] B(d, y) | S(z, i) | S(n, h) | S(w, e) | S(g, p) | S(f, n) | S(x, f) | B(s, b) | S(h, w)","[0, 0, 1, 1, 0, 1, 1, 0, 1]"
"[B(n, e)] B(n, z) | B(z, b) | P(d, t) | B(b, a) | B(u, p) | B(a, e) | S(y, k)","[1, 1, 0, 1, 0, 1, 0]"
"[P(y, d)] P(k, g) | P(q, s) | B(n, e) | P(s, d) | P(m, q) | S(a, o) | P(h, c) | P(y, m)","[0, 1, 0, 1, 1, 0, 0, 1]"
"[S(e, m)] S(b, w) | S(h, r) | S(r, p) | S(p, m) | S(e, h) | P(j, o) | P(t, s) | S(i, g)","[0, 1, 1, 1, 1, 0, 0, 0]"
"[P(r, h)] P(d, h) | S(x, s) | P(o, b) | P(f, i) | P(r, n) | P(n, d)","[1, 0, 0, 0, 1, 1]"
"[P(y, d)] P(p, v) | P(y, j) | S(f, b) | P(v, d) | B(a, m) | P(z, p) | P(j, z)","[1, 1, 0, 1, 0, 1, 1]"
"[S(y, u)] B(k, p) | S(y, o) | S(m, u) | S(o, v) | B(e, i) | S(w, m) | S(v, w) | P(f, g) | B(n, r)","[0, 1, 1, 1, 0, 1, 1, 0, 0]"
"[P(n, k)] P(n, y) | P(q, b) | P(y, q) | P(b, k) | S(m, u) | B(c, a)","[1, 1, 1, 1, 0, 0]"
"[B(o, x)] P(f, l) | B(o, s) | P(q, c) | B(y, h) | B(n, x) | S(j, k) | B(s, n)","[0, 1, 0, 0, 1, 0, 1]"
"[P(s, i)] P(z, g) | P(j, o) | P(s, l) | P(n, i) | P(l, a) | P(a, n)","[0, 0, 1, 1, 1, 1]"
"[P(c, k)] P(s, g) | P(l, b) | B(z, t) | B(v, o) | P(b, k) | P(c, l)","[0, 1, 0, 0, 1, 1]"
"[P(e, r)] B(b, t) | P(p, y) | P(v, j) | P(j, c) | S(k, o) | P(e, g) | S(x, i) | P(g, v) | P(c, r)","[0, 0, 1, 1, 0, 1, 0, 1, 1]"
"[B(g, a)] S(w, v) | B(c, a) | B(x, c) | B(h, u) | B(g, x)","[0, 1, 1, 0, 1]"
"[B(j, g)] B(v, i) | B(j, n) | B(b, w) | B(i, g) | P(x, h) | S(c, d) | B(n, v) | S(r, e)","[1, 1, 0, 1, 0, 0, 1, 0]"
"[S(a, g)] S(z, x) | S(a, l) | S(l, c) | P(e, s) | P(p, h) | S(x, g) | S(c, z)","[1, 1, 1, 0, 0, 1, 1]"
"[P(c, k)] B(x, w) | P(t, r) | P(r, k) | B(u, p) | P(c, t)","[0, 1, 1, 0, 1]"
"[P(v, g)] P(x, h) | P(v, x) | P(h, k) | S(n, t) | B(c, m) | B(j, f) | P(k, g)","[1, 1, 1, 0, 0, 0, 1]"
"[B(y, x)] S(b, z) | B(o, x) | B(v, k) | B(u, m) | S(c, i) | B(y, u) | B(m, o)","[0, 1, 0, 1, 0, 1, 1]"
"[S(s, j)] S(a, u) | S(z, y) | S(u, e) | S(e, j) | P(k, r) | S(b, q) | S(s, a)","[1, 0, 1, 1, 0, 0, 1]"
"[B(p, e)] B(i, u) | B(p, c) | B(b, e) | B(u, b) | B(c, i) | S(o, a) | P(v, f) | P(m, y)","[1, 1, 1, 1, 1, 0, 0, 0]"
"[S(w, o)] S(h, o) | B(q, e) | S(k, g) | S(s, k) | S(g, h) | S(w, s) | S(a, i)","[1, 0, 1, 1, 1, 1, 0]"
"[P(v, k)] S(b, l) | P(i, o) | P(o, k) | P(g, w) | S(a, z) | P(v, i)","[0, 1, 1, 0, 0, 1]"
"[B(m, j)] B(m, b) | P(p, k) | B(b, e) | B(d, a) | B(e, j) | B(h, f) | P(w, n)","[1, 0, 1, 0, 1, 0, 0]"
"[S(i, x)] S(c, q) | P(o, g) | B(p, w) | S(h, s) | S(q, m) | P(b, z) | S(i, c) | S(m, v) | S(v, x)","[1, 0, 0, 0, 1, 0, 1, 1, 1]"
"[B(w, q)] P(y, p) | B(w, x) | B(s, c) | B(z, e) | P(o, l) | B(i, s) | B(b, n) | B(x, i) | B(c, q)","[0, 1, 1, 0, 0, 1, 0, 1, 1]"
"[P(i, r)] P(q, n) | B(j, d) | B(f, l) | P(p, r) | P(c, p) | P(t, c) | P(u, h) | P(w, t) | P(i, w)","[0, 0, 0, 1, 1, 1, 0, 1, 1]"
"[P(t, c)] S(m, h) | P(e, y) | P(w, e) | P(y, c) | P(t, w) | P(b, g)","[0, 1, 1, 1, 1, 0]"
"[S(z, v)] B(u, n) | P(s, l) | P(w, k) | S(b, y) | S(y, v) | S(z, g) | S(g, b) | B(i, r)","[0, 0, 0, 1, 1, 1, 1, 0]"
"[P(o, n)] P(f, c) | P(k, e) | P(c, n) | P(u, r) | P(s, f) | P(o, s) | S(b, y)","[1, 0, 1, 0, 1, 1, 0]"
"[S(b, y)] B(a, s) | S(b, z) | S(e, y) | S(z, w) | B(o, r) | S(w, e)","[0, 1, 1, 1, 0, 1]"
"[B(w, n)] P(t, g) | B(b, e) | B(e, s) | B(s, q) | B(j, l) | P(f, r) | B(q, n) | B(w, b)","[0, 1, 1, 1, 0, 0, 1, 1]"
"[B(x, i)] P(o, t) | B(q, f) | B(s, u) | B(l, y) | S(d, b) | B(f, l) | B(y, i) | B(x, q)","[0, 1, 0, 1, 0, 1, 1, 1]"
"[B(f, d)] B(s, k) | B(q, b) | S(z, x) | B(c, r) | B(k, c) | S(t, o) | B(f, s) | B(r, d)","[1, 0, 0, 1, 1, 0, 1, 1]"
"[P(l, p)] P(d, x) | B(y, i) | P(t, d) | P(l, a) | P(a, t) | P(v, q) | B(r, h) | P(x, p)","[1, 0, 1, 1, 1, 0, 0, 1]"
"[P(x, d)] P(g, d) | S(v, p) | P(k, g) | S(b, m) | P(x, c) | P(n, u) | P(c, j) | S(o, s) | P(j, k)","[1, 0, 1, 0, 1, 0, 1, 0, 1]"
"[S(f, s)] S(f, d) | S(e, s) | S(d, e) | P(l, n) | B(w, r)","[1, 1, 1, 0, 0]"
"[P(t, z)] B(a, s) | P(t, f) | B(k, v) | P(f, i) | P(i, z)","[0, 1, 0, 1, 1]"
"[P(e, y)] P(e, r) | P(w, y) | P(r, w) | S(i, o) | B(u, p) | S(q, l) | B(k, s)","[1, 1, 1, 0, 0, 0, 0]"
"[B(j, f)] B(v, f) | P(o, h) | B(x, g) | B(g, v) | B(j, x) | P(k, i) | B(q, u)","[1, 0, 1, 1, 1, 0, 0]"
